date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-03-31,Hawaii,Hawaii,15001,15,0,2020,3,03,2020-03
2020-03-31,Clark,Illinois,17023,1,0,2020,3,03,2020-03
2020-03-31,Cook,Illinois,17031,4496,61,2020,3,03,2020-03
2020-03-31,Clark,Indiana,18019,33,0,2020,3,03,2020-03
2020-03-31,Clark,Kentucky,21049,8,0,2020,3,03,2020-03
2020-03-31,Clark,Nevada,32003,869,23,2020,3,03,2020-03
2020-03-31,New York City,New York,,43518,1475,2020,3,03,2020-03
2020-03-31,Clark,Ohio,39023,6,0,2020,3,03,2020-03
2020-03-31,Clark,South Dakota,46025,1,0,2020,3,03,2020-03
2020-03-31,Clark,Washington,53011,116,6,2020,3,03,2020-03
2020-03-31,Clark,Wisconsin,55019,3,0,2020,3,03,2020-03
2020-04-01,Clark,Arkansas,05019,26,0,2020,4,04,2020-04
2020-04-01,Los Angeles,California,06037,3518,65,2020,4,04,2020-04
2020-04-01,Cook,Georgia,13075,1,0,2020,4,04,2020-04
2020-04-01,Hawaii,Hawaii,15001,18,0,2020,4,04,2020-04
2020-04-01,Clark,Illinois,17023,1,0,2020,4,04,2020-04
2020-04-01,Cook,Illinois,17031,5152,95,2020,4,04,2020-04
2020-04-01,Clark,Indiana,18019,38,1,2020,4,04,2020-04
2020-04-01,Clark,Kentucky,21049,10,0,2020,4,04,2020-04
2020-04-01,Clark,Nevada,32003,961,28,2020,4,04,2020-04
2020-04-01,New York City,New York,,47914,1848,2020,4,04,2020-04
2020-04-01,Clark,Ohio,39023,6,0,2020,4,04,2020-04
2020-04-01,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-01,Clark,Washington,53011,130,6,2020,4,04,2020-04
2020-04-01,Clark,Wisconsin,55019,5,0,2020,4,04,2020-04
2020-04-02,Clark,Arkansas,05019,26,0,2020,4,04,2020-04
2020-04-02,Los Angeles,California,06037,4045,78,2020,4,04,2020-04
2020-04-02,Cook,Georgia,13075,1,0,2020,4,04,2020-04
2020-04-02,Hawaii,Hawaii,15001,18,0,2020,4,04,2020-04
2020-04-02,Clark,Illinois,17023,2,0,2020,4,04,2020-04
2020-04-02,Cook,Illinois,17031,5575,107,2020,4,04,2020-04
2020-04-02,Clark,Indiana,18019,49,1,2020,4,04,2020-04
2020-04-02,Clark,Kentucky,21049,11,0,2020,4,04,2020-04
2020-04-02,Clark,Nevada,32003,1125,34,2020,4,04,2020-04
2020-04-02,New York City,New York,,52400,2152,2020,4,04,2020-04
2020-04-02,Clark,Ohio,39023,7,0,2020,4,04,2020-04
2020-04-02,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-02,Clark,Washington,53011,131,8,2020,4,04,2020-04
2020-04-02,Clark,Wisconsin,55019,6,0,2020,4,04,2020-04
2020-04-03,Clark,Arkansas,05019,27,0,2020,4,04,2020-04
2020-04-03,Los Angeles,California,06037,4566,89,2020,4,04,2020-04
2020-04-03,Cook,Georgia,13075,1,0,2020,4,04,2020-04
2020-04-03,Hawaii,Hawaii,15001,20,0,2020,4,04,2020-04
2020-04-03,Clark,Illinois,17023,2,0,2020,4,04,2020-04
2020-04-03,Cook,Illinois,17031,6473,141,2020,4,04,2020-04
2020-04-03,Clark,Indiana,18019,55,2,2020,4,04,2020-04
2020-04-03,Clark,Kentucky,21049,11,0,2020,4,04,2020-04
2020-04-03,Clark,Missouri,29045,1,0,2020,4,04,2020-04
2020-04-03,Clark,Nevada,32003,1279,39,2020,4,04,2020-04
2020-04-03,New York City,New York,,57941,2648,2020,4,04,2020-04
2020-04-03,Clark,Ohio,39023,7,0,2020,4,04,2020-04
2020-04-03,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-03,Clark,Washington,53011,137,8,2020,4,04,2020-04
2020-04-03,Clark,Wisconsin,55019,6,0,2020,4,04,2020-04
2020-04-04,Clark,Arkansas,05019,27,0,2020,4,04,2020-04
2020-04-04,Los Angeles,California,06037,5277,117,2020,4,04,2020-04
2020-04-04,Cook,Georgia,13075,1,0,2020,4,04,2020-04
2020-04-04,Hawaii,Hawaii,15001,22,0,2020,4,04,2020-04
2020-04-04,Clark,Illinois,17023,2,0,2020,4,04,2020-04
2020-04-04,Cook,Illinois,17031,7439,167,2020,4,04,2020-04
2020-04-04,Clark,Indiana,18019,61,3,2020,4,04,2020-04
2020-04-04,Clark,Kentucky,21049,11,0,2020,4,04,2020-04
2020-04-04,Clark,Missouri,29045,1,0,2020,4,04,2020-04
2020-04-04,Clark,Nevada,32003,1418,41,2020,4,04,2020-04
2020-04-04,New York City,New York,,64274,3221,2020,4,04,2020-04
2020-04-04,Clark,Ohio,39023,7,0,2020,4,04,2020-04
2020-04-04,Clark,South Dakota,46025,1,0,2020,4,04,2020-04
2020-04-04,Clark,Washington,53011,137,8,2020,4,04,2020-04
2020-04-04,Clark,Wisconsin,55019,6,0,2020,4,04,2020-04
2020-04-05,Clark,Arkansas,05019,27,0,2020,4,04,2020-04
